CustomerID,num_days,num_transactions,num_units,spent_money,avg_order_value,profit_margin
12346.0,0,1,74215,77183.6,77183.6,3859.1800000000003
12747.0,366,103,1275,4196.009999999999,40.73796116504854,209.80049999999997
12748.0,372,4596,25748,33719.73,7.33675587467363,1685.9865000000002
12749.0,209,199,1471,4090.88,20.55718592964824,204.544
12820.0,323,59,722,942.34,15.97186440677966,47.117000000000004
12821.0,0,6,70,92.72,15.453333333333333,4.636
12822.0,16,46,550,948.8800000000002,20.627826086956528,47.44400000000002
12823.0,221,5,230,1759.5,351.9,87.97500000000001
12824.0,0,25,232,397.11999999999995,15.884799999999998,19.855999999999998
12826.0,362,91,1058,1474.72,16.205714285714286,73.736
12827.0,38,25,197,430.15,17.206,21.5075
12828.0,127,56,494,1018.71,18.19125,50.935500000000005
12829.0,23,11,376,293.0,26.636363636363637,14.65
12830.0,134,38,9848,6814.640000000001,179.3326315789474,340.7320000000001
12831.0,0,9,135,215.05,23.894444444444446,10.752500000000001
12832.0,65,27,195,383.03000000000003,14.186296296296298,19.151500000000002
12833.0,0,24,156,417.38,17.390833333333333,20.869
12834.0,0,18,110,312.38,17.354444444444443,15.619
12836.0,252,175,1064,2612.8599999999997,14.930628571428569,130.643
12837.0,0,12,24,134.1,11.174999999999999,6.705
12838.0,340,123,359,683.13,5.55390243902439,34.1565
12839.0,364,314,3807,5591.42,17.80707006369427,279.571
12840.0,82,113,1511,2726.77,24.13070796460177,136.3385
12841.0,367,420,2757,4022.35,9.577023809523808,201.1175
12842.0,238,34,547,1118.99,32.9114705882353,55.9495
12843.0,198,103,781,1702.2600000000002,16.52679611650486,85.11300000000001
12844.0,101,52,125,325.96,6.268461538461538,16.298
12845.0,22,27,204,354.09,13.114444444444443,17.7045
12847.0,0,91,909,871.5399999999998,9.577362637362636,43.577
12849.0,237,51,623,1050.8899999999999,20.6056862745098,52.5445
12851.0,0,50,109,135.18,2.7036000000000002,6.759
12852.0,0,17,149,311.55,18.326470588235296,15.5775
12853.0,181,78,800,1957.1000000000004,25.091025641025645,97.85500000000002
12854.0,239,110,627,1324.5000000000002,12.040909090909093,66.22500000000001
12855.0,0,3,30,38.1,12.700000000000001,1.9050000000000002
12856.0,55,314,1079,2179.93,6.942452229299363,108.9965
12857.0,91,46,343,1106.4,24.05217391304348,55.32000000000001
12863.0,0,5,188,521.2,104.24000000000001,26.060000000000002
12864.0,0,3,216,147.12,49.04,7.356000000000001
12867.0,333,538,4298,4036.82,7.503382899628253,201.841
12868.0,187,107,928,1607.0600000000002,15.0192523364486,80.35300000000001
12871.0,123,11,200,380.64000000000004,34.60363636363637,19.032000000000004
12872.0,38,66,319,599.9700000000001,9.090454545454548,29.998500000000007
12873.0,0,4,128,374.0,93.5,18.7
12875.0,219,2,2019,343.2300000000001,171.61500000000004,17.161500000000004
12877.0,354,154,1178,1535.7700000000002,9.972532467532469,76.78850000000001
12878.0,29,47,547,854.99,18.191276595744682,42.749500000000005
12879.0,47,10,370,573.22,57.322,28.661
12881.0,0,7,21,298.0,42.57142857142857,14.9
12882.0,24,13,246,1463.0399999999997,112.54153846153844,73.15199999999999
12883.0,64,42,196,703.47,16.749285714285715,35.173500000000004
12884.0,0,7,43,309.05000000000007,44.15000000000001,15.452500000000004
12885.0,60,71,655,1175.2199999999998,16.55239436619718,58.760999999999996
12886.0,151,82,770,1378.3999999999999,16.809756097560975,68.92
12888.0,41,5,76,354.12,70.824,17.706
12890.0,0,82,259,380.47,4.6398780487804885,19.023500000000002
12891.0,107,3,950,331.0,110.33333333333333,16.55
12893.0,0,34,96,188.14000000000001,5.5335294117647065,9.407000000000002
12895.0,44,22,210,372.8,16.945454545454545,18.64
12897.0,97,4,110,216.5,54.125,10.825000000000001
12901.0,261,116,23075,17654.539999999997,152.19431034482756,882.7269999999999
12902.0,0,10,66,138.67999999999998,13.867999999999999,6.933999999999999
12904.0,154,72,302,509.58,7.0775,25.479
12906.0,66,63,1749,2919.81,46.34619047619047,145.9905
12908.0,136,2,1200,750.0,375.0,37.5
12909.0,213,91,1280,2178.67,23.941428571428574,108.93350000000001
12910.0,218,75,1692,3075.0400000000004,41.00053333333334,153.75200000000004
12912.0,37,24,670,1662.3,69.2625,83.11500000000001
12913.0,363,50,1419,2483.6299999999997,49.672599999999996,124.18149999999999
12915.0,223,22,93,363.65,16.529545454545453,18.1825
12916.0,181,107,1119,3006.1499999999996,28.09485981308411,150.30749999999998
12917.0,0,2,120,594.0,297.0,29.700000000000003
12919.0,161,50,673,1335.19,26.7038,66.7595
12920.0,0,28,129,164.23000000000002,5.865357142857143,8.211500000000001
12921.0,364,720,9526,16587.09,23.037625,829.3545
12922.0,0,28,370,405.38,14.477857142857143,20.269000000000002
12923.0,0,29,69,176.97,6.102413793103448,8.8485
12924.0,239,30,481,933.7000000000002,31.12333333333334,46.68500000000001
12925.0,70,45,541,694.05,15.423333333333332,34.7025
12928.0,323,84,1472,2062.7,24.55595238095238,103.13499999999999
12929.0,0,8,37,117.85,14.73125,5.8925
12930.0,93,25,252,415.8,16.632,20.790000000000003
12931.0,336,82,28004,42055.96,512.8775609756098,2102.7980000000002
12933.0,259,106,499,607.53,5.7314150943396225,30.3765
12935.0,317,129,1853,2160.7,16.749612403100773,108.035
12936.0,61,62,559,1063.8999999999999,17.159677419354836,53.19499999999999
12937.0,252,120,1007,1504.2700000000002,12.535583333333335,75.21350000000001
12938.0,0,9,140,114.13999999999999,12.68222222222222,5.707
